Issue type,url,targetNode,Needs review,Violation/Need Review,QA Status,QA Comment,Dev Buckets,comment
accessible-name,https://school.teachingbooks.net/Literary_Calendar.cgi,.lit_calendar_week:nth-child(2) > .lit_calendar_day:nth-child(2) > .day_number,FALSE,Violation,FP,Empty Non interactable element,Non percivible click,empty div
accessible-name,https://school.teachingbooks.net/Literary_Calendar.cgi,.lit_calendar_week:nth-child(2) > .lit_calendar_day:nth-child(1) > .day_number,FALSE,Violation,FP,Empty Non interactable element,Non percivible click,empty div
accessible-name,https://testrigor.com/,#b-4 > .trdc-icon-box.tR-dark-card,FALSE,Violation,FP,Non interactive element,Non percivible click,svg / icon / image
accessible-name,https://www.kaercher.com/de/home-garden/hochdruckreiniger/k-7-premium-smart-control-flex-home-13173630.html,".col-md-7.col-xs-6 > .fc-close[data-kjs-click=""close""]",FALSE,Violation,TP,,,
accessible-name,https://www.danone.com/,"#videoteaser-90fea48522 > .cmp-videoteaser__video > video[playsinline=""""]",FALSE,Violation,TP,,,
accessible-name,https://www.danone.com/,"#videoteaser-be51fb35d7 > .cmp-videoteaser__video > video[autoplay=""true""][loop=""true""]",FALSE,Violation,TP,,,
accessible-name,https://www.ubreakifix.com/locations/whitefishbay,.elements__YouTubeButton-sc-b59d98b8-3,FALSE,Violation,TP,,,
accessible-name,https://www.ubreakifix.com/locations/whitefishbay,".krRJDR > .StoreImageGallery__StoreImageGalleryContainer-sc-107159aa-0.bSNnBD > .StoreImageGallery__StoreImageGalleryInner-sc-107159aa-1.kEQuoA > .Gallery__ThumbnailContainer-sc-6367d938-3.bKmEDH > .kcuLGH.ImageThumbnail__ImageThumbnailContainer-sc-c28090b8-1[data-testid=""thumbnail-4""]",FALSE,Violation,TP,,,
accessible-name,https://www.ubreakifix.com/locations/whitefishbay,".krRJDR > .StoreImageGallery__StoreImageGalleryContainer-sc-107159aa-0.bSNnBD > .StoreImageGallery__StoreImageGalleryInner-sc-107159aa-1.kEQuoA > .Gallery__ThumbnailContainer-sc-6367d938-3.bKmEDH > .kcuLGH.ImageThumbnail__ImageThumbnailContainer-sc-c28090b8-1[data-testid=""thumbnail-3""]",FALSE,Violation,TP,,,
accessible-name,https://www.ubreakifix.com/locations/whitefishbay,".krRJDR > .StoreImageGallery__StoreImageGalleryContainer-sc-107159aa-0.bSNnBD > .StoreImageGallery__StoreImageGalleryInner-sc-107159aa-1.kEQuoA > .Gallery__ThumbnailContainer-sc-6367d938-3.bKmEDH > .kcuLGH.ImageThumbnail__ImageThumbnailContainer-sc-c28090b8-1[data-testid=""thumbnail-1""]",FALSE,Violation,TP,,,
accessible-name,https://www.ubreakifix.com/locations/whitefishbay,".krRJDR > .StoreImageGallery__StoreImageGalleryContainer-sc-107159aa-0.bSNnBD > .StoreImageGallery__StoreImageGalleryInner-sc-107159aa-1.kEQuoA > .Gallery__ThumbnailContainer-sc-6367d938-3.bKmEDH > .ecVFVf.ImageThumbnail__ImageThumbnailContainer-sc-c28090b8-1[data-testid=""thumbnail-0""]",FALSE,Violation,TP,,,
accessible-name,https://careers.asurion.com/us/en,#skipToMainContent,FALSE,Violation,TP,,,
accessible-name,https://onlineshop.haribo.com/,.notification-bar-collapse--header,FALSE,Violation,TP,,,
accessible-name,https://onlineshop.haribo.com/,.container--ajax-cart,FALSE,Violation,TP,,,
accessible-name,https://ba.gorenje.com/podrska,.support__pin-icon,FALSE,Violation,TP,,,
accessible-name,https://www.pacificlife.com/home/individuals/employee-benefits.html,.default,FALSE,Violation,TP,,,
accessible-name,https://www.avironactive.com/shop-a/,.DesktopHeader_button-login__GuXtq,FALSE,Violation,TP,,,
accessible-name,https://www.walgreens.com/offers/offers.jsp,#store-selector-trigger-desktop > .header-store.overflowInitial.truncate > div:nth-child(1) > span,FALSE,Violation,TP,,,
accessible-name,"https://karriere.drk-kliniken-berlin.de/,",.PageFooter__QuickApplicationLink-sc-56hj8z-5,FALSE,Violation,TP,,,
accessible-name,https://www.floralux.be/nl/,"flx-cf-add-to-wishlist-icon[itemid=""20250910_1""] > .m-card__favourite",FALSE,Violation,TP,,,
accessible-name,https://www.floralux.be/nl/,"flx-cf-add-to-wishlist-icon[itemid=""200174831""] > .m-card__favourite",FALSE,Violation,TP,,,
accessible-name,https://www.floralux.be/nl/,"flx-cf-add-to-wishlist-icon[itemid=""2025103""] > .m-card__favourite",FALSE,Violation,TP,,,
accessible-name,https://testapp.socialfries.io/login,i,FALSE,Violation,TP,,,
accessible-name,https://www.bbrown.com/us/,#menu-item-275 > .ubermenu-target-with-icon.ubermenu-item-layout-icon_left.ubermenu-item-notext,FALSE,Violation,TP,,,
accessible-name,https://counseling.ufl.edu/resources/,.esg-sortbutton-order,FALSE,Violation,TP,,,
accessible-name,https://counseling.ufl.edu/resources/,.eg-search-clean,FALSE,Violation,TP,,,
accessible-name,https://counseling.ufl.edu/resources/,.eg-search-submit,FALSE,Violation,TP,,,
accessible-name,https://usercentrics.com/,".uc-notification__close > svg[viewBox=""0 0 24 24""][width=""24""][height=""24""]",FALSE,Violation,TP,,,
accessible-name,https://aicandy.vn/ve-do-thi-ham-so/,"a[data-title=""Reset axes""]",FALSE,Violation,TP,,,
,,,,,,,,
,,,,,,,,
